700 80000
362 449 49942
449 467 68190
467 634 96621
118 362 39876
65 362 4342
167 449 77429
65 388 11740
118 324 81550
467 473 23644
569 634 85959
362 382 55647
217 634 53130
5 569 5478
511 569 20688
324 385 46448
385 476 59425
65 371 73831
272 385 61072
509 511 18777
449 700 90049
217 589 70305
167 592 35944
492 509 6570
65 594 353
217 384 21589
130 569 28567
5 309 8795
130 450 28663
388 395 99093
385 400 2154
423 634 94211
473 578 20997
277 400 99506
656 700 80865
351 569 96584
334 476 73161
592 618 79694
168 473 82883
65 574 7709
38 509 22850
138 351 27171
273 324 80254
416 589 9495
168 265 67987
74 700 15188
400 580 79134
527 578 27812
167 529 1197
131 527 23725
324 386 96311
19 38 27219
1 382 95221
194 265 80466
65 192 3776
84 324 3912
24 527 79636
167 178 19677
138 325 12390
24 539 49346
275 351 63316
84 148 96840
280 476 29233
395 682 7163
382 445 36760
131 171 3914
328 423 28186
526 656 52807
138 381 44485
130 434 82479
1 129 42853
394 700 19286
55 171 85999
230 382 66529
194 228 59869
384 487 42053
228 350 67847
104 273 76544
170 487 19912
24 559 8711
93 450 47099
529 624 27022
273 315 52724
5 438 27221
194 332 86107
332 601 65587
159 371 34049
334 664 79111
129 547 73568
596 664 91414
134 526 69775
1 541 40310
417 618 1537
148 229 92905
183 601 33567
388 658 68461
351 443 55535
235 332 20921
93 392 3652
230 271 37765
324 674 80046
386 666 27087
497 578 97916
441 664 73762
198 526 92139
128 423 9465
392 632 602
309 657 93884
339 395 41532
316 547 11191
135 386 87384
589 697 87200
73 277 40353
200 509 63918
74 83 10630
4 618 3826
36 384 14426
289 334 62655
168 402 7893
34 618 94241
83 344 78454
101 492 90070
646 656 10114
397 492 86488
80 476 31944
71 596 56798
129 407 22554
46 350 38827
65 278 51770
78 423 12696
11 589 59354
384 435 3496
24 437 2149
455 596 7310
74 146 32200
278 655 64313
229 680 90811
334 418 30965
217 518 32099
326 476 90416
385 691 40341
291 539 85314
111 418 2747
371 419 38243
417 427 62375
131 458 51055
462 634 12134
533 578 32432
110 228 31400
89 423 21187
151 541 2732
89 204 30958
194 681 60136
362 568 95513
83 627 73141
395 593 15282
230 599 5441
114 273 79941
178 331 70394
615 656 57682
557 681 64492
306 417 57413
368 395 40777
487 508 95665
399 615 36306
175 632 14532
273 361 2749
406 476 57296
200 474 88794
404 557 70020
656 665 32747
152 682 73948
449 642 65206
352 691 88512
95 118 2588
221 407 14418
462 606 22795
79 151 7330
138 556 78890
151 310 80726
388 512 18993
443 551 90537
145 627 68433
516 557 22633
41 95 13052
47 596 67200
78 261 78838
350 479 41496
183 295 65434
455 488 36269
219 656 41260
95 195 48269
445 676 74443
101 456 15209
46 149 33120
292 529 39838
427 493 14541
206 306 6183
84 494 3473
19 238 24939
437 498 51453
121 533 48191
396 697 43337
303 646 48947
53 682 59678
299 624 77430
416 576 84109
535 700 85569
131 687 62254
34 214 92500
26 681 41800
50 574 50433
327 396 59502
319 416 32678
182 578 46947
49 589 62489
496 592 65896
47 263 44374
247 303 57574
426 539 9126
395 554 53479
392 534 15218
338 547 88419
316 625 82629
73 408 17298
128 454 90595
467 591 42133
72 295 31781
182 322 15860
84 425 64330
371 515 42710
178 293 87664
41 188 48300
295 464 49549
183 391 68453
192 237 8408
249 551 80174
136 261 35502
280 373 43516
111 120 63451
41 304 12912
105 228 77728
535 549 63601
263 433 40710
106 599 54552
114 115 87344
181 467 90990
152 662 80243
301 615 77195
138 605 96621
397 561 52033
35 419 61112
269 392 59877
169 554 33222
168 675 93347
83 256 51503
462 490 54321
95 139 6312
343 496 64846
609 625 87672
13 104 30770
37 114 10330
459 515 43148
509 522 83352
442 655 34225
248 386 4925
85 371 74683
34 311 64951
32 385 2435
227 385 36041
484 674 51115
414 697 59898
114 420 94396
123 256 75129
204 370 92035
54 181 44791
81 149 22270
426 590 53573
438 560 80093
89 210 77146
471 599 39326
100 362 54232
27 352 46409
329 435 72345
189 385 84134
50 259 71068
201 697 22023
454 686 6107
612 666 44329
403 606 21344
370 532 66422
174 442 53893
455 688 69643
162 385 64574
443 495 58036
48 634 17143
216 557 43249
11 412 69713
286 396 66151
242 589 56494
98 319 57315
277 608 13462
330 385 83228
160 455 33450
172 280 65941
464 698 43410
64 576 76842
309 582 26964
71 173 54813
275 379 82703
293 313 34713
7 404 17781
317 344 54317
179 181 3112
16 512 10869
411 615 59678
87 462 14678
152 552 31288
163 322 50798
90 657 47407
11 17 24315
79 285 62236
92 361 93082
113 379 60738
138 390 86910
583 697 32013
93 112 86858
19 398 63911
358 526 87355
139 588 38903
542 656 91578
273 307 97652
12 408 59986
270 385 21132
349 496 22436
176 686 88368
151 365 51955
138 279 274
450 558 49964
145 267 30884
284 655 76807
387 388 30572
113 667 72184
363 557 84213
400 452 83770
358 461 50653
216 478 29214
102 256 78876
676 690 42930
33 358 64781
290 311 943
101 372 58938
534 644 7374
62 201 59887
539 638 23666
104 212 98918
551 572 21136
255 344 16953
193 456 49130
257 487 78343
266 361 51666
22 90 79537
208 627 20813
153 560 16197
245 690 90236
64 513 9409
65 693 14706
97 459 77031
259 268 42873
96 495 50900
41 500 80313
318 496 57084
94 576 16710
250 532 22213
97 503 70737
102 428 79777
29 560 33889
31 36 9279
466 609 8113
73 150 78506
7 510 23409
145 636 67200
286 683 89097
463 569 86509
52 569 7105
286 650 67969
333 650 47004
65 141 28799
191 539 57377
446 490 26461
215 399 35972
254 601 16564
236 559 3595
468 497 60711
270 421 56096
60 210 15319
55 143 24278
163 584 67107
72 540 5350
137 438 1296
257 695 8415
194 651 76105
3 263 78046
34 603 65052
21 624 80480
36 287 17861
495 586 76387
71 144 21398
2 212 35132
67 295 65660
378 682 30567
202 411 8285
74 196 53973
537 651 20627
225 656 31453
215 602 3463
271 555 14188
231 539 48806
260 537 29429
509 699 7770
251 559 36932
6 250 27988
178 383 43398
179 553 28471
148 205 53568
200 422 43955
101 652 35758
361 491 7049
550 552 65378
68 329 50080
140 267 29667
43 358 17468
150 364 55316
98 353 55151
185 539 10835
97 481 94266
204 477 74729
217 604 8963
20 247 1659
129 565 22846
446 530 6587
388 628 43138
250 620 88654
211 261 22280
79 629 64247
598 609 89288
400 440 73054
471 483 80930
612 637 86169
425 499 8766
405 642 85539
142 260 99371
136 469 19234
26 312 56510
273 323 40347
288 398 89589
354 378 24317
582 660 88748
151 538 16983
10 422 60237
164 317 85064
352 633 98122
69 632 75376
2 357 38851
456 507 88626
488 571 16360
191 432 11280
193 504 86620
39 111 9294
189 672 57909
242 641 83129
116 529 12923
376 541 38064
609 648 5497
29 246 9944
460 518 28835
163 199 97433
430 507 96843
152 375 67011
156 681 78904
28 46 52855
240 330 9007
415 463 95695
268 320 54571
160 209 89559
115 274 70054
617 660 9773
492 663 89993
522 692 21107
77 378 5626
374 530 34494
228 678 13422
197 275 47692
176 482 58305
459 635 54974
308 510 11825
86 392 21605
89 410 74099
341 391 10251
18 235 45875
628 685 36411
434 595 23742
71 253 73084
441 643 69514
412 475 96205
154 288 34616
99 604 66506
132 352 94155
183 336 17945
88 637 21066
10 453 87218
95 524 33614
75 590 58363
205 600 56165
233 632 69271
36 563 6996
223 608 35827
465 524 32945
166 378 36587
150 439 36682
21 252 73534
124 683 13706
234 364 51499
278 300 74440
161 504 63343
317 360 62672
439 546 30845
155 388 72167
57 151 3818
409 624 48476
161 607 31552
320 451 81524
70 443 76404
239 651 87269
125 234 23167
234 694 81168
298 557 52496
24 218 59765
40 273 20574
109 549 33056
319 623 78520
177 206 11655
94 340 68520
127 449 1559
165 686 50938
99 126 86826
323 610 37003
50 670 5449
185 520 60325
76 185 12530
196 689 45819
79 297 44946
630 634 449
187 529 47200
241 592 88766
44 57 48605
203 404 511
213 694 10326
531 539 25134
283 607 32459
436 584 50183
23 176 29820
158 490 99386
536 699 8009
349 577 20465
82 574 78557
380 595 7650
42 288 49469
56 85 32001
281 445 93150
244 361 25808
366 469 13269
364 486 10940
190 371 38460
152 224 94475
393 405 51665
132 677 35285
51 145 99310
183 226 254
473 669 66621
114 631 64659
668 688 72917
621 677 72704
239 613 60842
570 630 31449
335 644 51285
13 616 34147
523 685 16636
368 649 45687
341 573 67610
484 566 29284
488 525 94306
259 661 87632
117 341 77512
346 646 90509
597 637 32595
363 480 42530
294 446 62186
78 506 68515
401 522 34397
325 545 82799
414 448 77054
139 579 18780
514 687 76014
175 232 13066
141 562 42429
622 628 42034
238 647 46060
367 471 22853
167 585 13287
342 482 97542
213 548 98354
263 673 82146
312 337 29680
498 517 69721
115 679 49119
253 431 47505
359 644 89932
526 528 37480
345 514 33462
407 519 55576
209 321 4689
184 375 28521
25 556 65570
19 521 19522
248 653 24971
75 302 70949
258 421 40970
45 302 6955
274 413 93043
69 107 90420
447 467 78389
221 243 12228
32 444 79815
91 579 38561
160 207 67134
66 461 28227
167 424 63963
129 640 24931
336 696 73761
457 478 85233
68 377 89450
119 243 70197
63 541 96986
10 186 83477
389 397 55969
457 645 29667
264 380 45439
545 671 69011
339 369 10594
505 565 51549
44 58 98546
462 626 8168
356 478 72268
180 319 79096
282 480 96592
614 664 65360
477 587 14882
61 450 52995
30 376 13674
222 456 97256
544 651 94395
255 276 59631
304 355 88482
9 153 19593
18 472 98228
108 565 23931
143 147 3656
377 611 87990
133 357 67489
37 489 53658
171 581 76552
466 567 20967
103 666 62302
120 305 96340
296 379 49336
260 543 15280
286 684 31006
247 485 81835
220 417 60430
324 619 24047
14 599 25440
29 122 35454
186 429 87353
157 370 43735
502 547 75609
219 314 25458
370 654 5196
369 575 9130
90 659 64600
501 623 68071
426 470 96525
59 427 86751
335 639 93430
15 121 82957
147 348 22243
8 477 90519
272 564 45277
257 262 87114
309 347 91398
184 187 43737
178 216 19881
394 536 25720
487 493 85824
450 522 12333
91 460 23510
73 437 76392
283 531 91037
268 636 72557
230 603 89754
123 559 34131
270 668 1166
30 474 54389
385 438 18179
416 471 6828
92 681 96114
285 328 90239
447 530 52316
214 358 68528
125 396 97701
515 668 95392
377 379 92082
89 285 47495
495 540 11942
235 379 25159
18 393 71957
245 520 67229
41 130 83458
32 418 30756
298 572 25276
310 328 96098
68 557 4135
398 454 44754
387 666 30777
107 184 76672
29 172 56967
33 530 2146
4 320 95179
571 669 19438
109 116 96491
19 146 23368
147 552 39011
180 289 798
42 151 91146
335 465 83364
425 515 55032
88 457 94622
228 366 43537
60 337 80676
659 696 54343
319 629 69023
244 312 92046
77 105 11519
14 339 55828
5 619 71054
29 89 51594
70 118 75759
418 497 99260
225 344 53811
491 700 22003
306 640 32017
555 687 4139
243 665 53963
398 408 75974
23 129 63156
247 569 27947
41 623 73124
212 411 565
121 137 30559
45 127 615
123 166 99051
209 517 59745
163 325 46628
101 337 15072
74 332 47915
334 495 14599
60 574 17424
391 696 57015
185 641 80833
446 657 53562
380 519 14172
288 313 17997
260 510 26613
237 311 25172
443 688 12666
407 502 18055
14 273 92417
222 556 70312
420 700 53640
341 368 11651
128 351 56444
285 659 41000
423 470 44569
97 682 8458
431 485 59330
126 486 70541
423 500 57583
199 591 3859
25 691 98544
320 537 41155
80 370 72342
351 556 71188
180 585 15228
94 306 25147
522 668 22757
105 314 23869
27 460 11633
373 509 98794
137 309 35539
404 534 2704
134 649 13019
291 655 73775
68 547 82660
269 330 68907
89 698 96377
650 691 96544
53 697 41149
176 189 80914
458 530 44895
129 328 2850
340 503 98107
101 482 33409
160 452 7823
136 335 8799
316 528 82396
244 336 63426
293 596 10743
344 545 74667
530 591 32049
162 243 46428
261 518 88075
391 526 44124
178 335 43
215 569 18426
106 559 68564
227 395 94717
117 153 41753
279 430 77633
547 691 87511
248 371 49635
252 681 36798
32 94 24430
213 680 82649
111 470 27924
157 218 60577
207 561 60772
106 460 23312
46 384 30467
174 359 37352
474 538 63915
490 584 55572
308 479 90865
1 560 71096
26 589 62649
258 582 41290
271 300 55435
470 564 7946
374 448 87479
93 492 83150
158 216 47646
75 392 93316
148 252 21440
432 522 97663
38 141 58258
417 603 55496
32 240 95067
19 622 28179
408 460 48136
358 445 58912
128 251 44307
164 450 31730
392 476 32349
190 369 57754
6 83 30040
123 583 12104
487 554 34319
115 514 69068
263 376 40286
411 433 89212
495 518 11744
47 136 57974
338 592 28519
254 344 29102
226 592 57672
91 659 70390
290 674 48306
286 307 60288
496 540 64177
537 656 62747
471 519 73443
173 228 47034
284 673 3437
151 331 41263
483 536 29622
641 679 72157
260 463 36034
63 584 83932
142 449 11172
24 425 78985
573 623 65927
166 248 92847
102 304 27904
8 560 11028
98 521 45630
85 509 38453
392 577 53951
199 416 42354
490 560 67402
117 225 23714
110 640 77467
82 515 21596
527 668 29362
348 624 17081
182 276 28195
251 380 8277
451 632 26396
14 358 48222
582 604 24723
221 534 84724
383 682 92177
588 616 99408
5 323 37606
93 352 99048
235 282 56820
407 416 21072
96 700 776
263 698 89779
84 277 44815
355 578 1707
10 388 89446
222 467 12769
386 387 82867
86 631 47275
191 484 32529
115 577 57147
217 521 86583
338 629 96333
183 422 21824
311 556 34971
116 571 81090
438 654 8026
409 523 14851
458 698 93576
32 188 82077
58 167 50409
253 618 52871
285 596 98364
177 406 44683
267 529 25776
455 629 70510
9 694 27441
279 498 87487
75 146 42284
383 622 23052
194 635 39672
